uri,acousticness,valence,danceability,energy,key,instrumentalness,liveness,loudness,speechiness,tempo,duration_ms,mood
spotify:track:1ggjVroSMZK4UQOy0QSCsq,0.012,0.562,0.686,0.834,1,1.43E-06,0.0838,-4.16,0.0356,124.033,181920,happy
spotify:track:6xjxMWGsprmtUVMDaMhgH0,0.799,0.39,0.504,0.592,7,2.07E-06,0.174,-8.397,0.0301,146.182,182720,happy
spotify:track:23KRFSsLa3UQ8FMY6KQ63i,0.00934,0.681,0.819,0.655,9,0.00016,0.292,-7.171,0.0487,120.01,172718,happy
spotify:track:4ja2gzrNh9VNigzoXfmbwD,0.617,0.421,0.676,0.525,9,0,0.356,-5.88,0.028,112.011,210000,happy
spotify:track:0JRNPoITcFcNSTRErs8moc,0.169,0.781,0.908,0.675,5,0.0603,0.0541,-6.122,0.0507,120.071,211547,happy
spotify:track:1etiUDkISHELzQGMY79ryt,0.275,0.458,0.504,0.821,8,0,0.0418,-3.356,0.0598,155.131,201799,happy
spotify:track:2HXWTuHE8NZgK7ZmCVBTHX,0.323,0.459,0.646,0.617,0,0,0.0939,-4.937,0.0349,142.357,185613,happy
spotify:track:1e9oZCCiX42nJl0AcqriVo,0.122,0.557,0.548,0.816,0,0,0.335,-4.209,0.0465,95.39,174000,happy
spotify:track:7q0aQpiLv5tIsupcgQ3Ny4,0.0846,0.389,0.717,0.455,5,0,0.11,-8.303,0.0276,127.81,200733,happy
spotify:track:2Yer0p7uB2lVBUAtANuuQp,0.66,0.803,0.769,0.479,1,0,0.0914,-5.339,0.0385,96.051,164640,happy
spotify:track:1Cv1YLb4q0RzL6pybtaMLo,0.183,0.694,0.878,0.525,5,0,0.0714,-6.832,0.0578,112.022,158571,happy
spotify:track:6oA7NzN7FgmXv7l7Y638HL,0.072,0.396,0.796,0.571,1,0.00776,0.0812,-7.099,0.0526,130.983,183292,happy
spotify:track:6YQlCOZnlFmqeciAh58fDE,0.0254,0.283,0.503,0.808,11,0.00162,0.557,-5.051,0.045,107.975,197533,happy
spotify:track:3CQqY9BxLZE6HmieR7fvNM,0.398,0.884,0.704,0.802,3,0,0.0831,-5.382,0.17,90.543,198280,happy
spotify:track:138z3pmiVinj6I9lOrZHXG,0.117,0.584,0.827,0.524,0,2.61E-06,0.0814,-7.18,0.0445,105.964,196133,happy
spotify:track:4dkMqDjuN7r9mOYpJtEUGt,0.114,0.542,0.646,0.832,4,0,0.371,-2.687,0.189,90.816,183295,happy
spotify:track:15t7OIDgCF5C6mLACqZbm5,0.215,0.478,0.916,0.563,0,0,0.0919,-6.245,0.0755,107.029,185000,happy
spotify:track:3838GU9hh6VrvDi1f8jaU9,0.164,0.847,0.796,0.694,8,0,0.0703,-3.979,0.234,98.005,172569,happy
spotify:track:7c71baHwrGDOeIFl1gVO14,0.209,0.913,0.642,0.881,11,0,0.21,-3.537,0.0393,138.03,222045,happy
spotify:track:4bOLbZhJfBIB1WFONyUjtP,0.0784,0.585,0.769,0.745,9,0.00115,0.0785,-4.934,0.0853,160.12,189000,happy
spotify:track:022KUgS0Q5c3MTePafMLai,0.00155,0.247,0.476,0.776,7,0,0.464,-6.95,0.173,139.969,213123,happy
spotify:track:01k24g94i1JvkFLQmVEdCd,0.0615,0.618,0.647,0.853,8,0,0.062,-4.516,0.0904,103.846,189000,happy
spotify:track:3aA6xB0tOilDDX17fIJ0Bl,0.0969,0.373,0.688,0.716,7,0,0.0989,-5.702,0.0385,116.912,284480,happy
spotify:track:43rA71bccXFGD4C8GOpIlN,0.298,0.541,0.664,0.316,5,2.03E-06,0.0812,-10.345,0.519,92.875,170640,happy
spotify:track:1mMvahhW2Oz9waG8UTQnI4,0.0304,0.137,0.58,0.804,9,0.00359,0.105,-4.618,0.0279,126.005,215388,happy
spotify:track:49dFIRQCQxPWgoH0m38XQ5,0.262,0.7,0.696,0.686,5,0,0.174,-6.113,0.0309,115.982,160289,happy
spotify:track:3XLcy0qym8nuxnJ51cRcba,0.0937,0.827,0.767,0.635,0,0,0.233,-5.386,0.0579,108.029,185440,happy
spotify:track:4XI5GjQ6zcJXsDnuyOGGEa,0.0384,0.746,0.71,0.615,0,0,0.283,-8.23,0.133,90.263,239698,happy
spotify:track:5hlwCtGdtDBzXeMBJpD5IK,0.0448,0.749,0.548,0.806,1,0,0.126,-7.249,0.0628,189.996,178148,happy
spotify:track:4w65UzEnM29XkzbRpXTut0,0.0487,0.487,0.739,0.586,9,0.000151,0.357,-6.337,0.0646,114.011,189474,happy
spotify:track:3cYMUCsmJ7q426xP1ZR5Qw,0.193,0.42,0.695,0.863,5,0,0.36,-6.055,0.0717,114.939,178195,happy
spotify:track:2tOOcDDYkh0PSjr6GwPEAJ,0.0828,0.771,0.732,0.856,11,0,0.323,-2.2,0.0929,145.034,177670,happy
spotify:track:614OkajfRPH8V0ugNQnduP,0.0494,0.459,0.88,0.501,2,0.0695,0.436,-6.774,0.062,120.038,114500,happy
spotify:track:5Hroj5K7vLpIG4FNCRIjbP,0.0591,0.538,0.673,0.902,2,0.000262,0.0558,-2.392,0.0346,100.012,194240,happy
spotify:track:02Ygu8lo3qSknRpcBnspso,0.156,0.794,0.793,0.714,7,0,0.136,-7.562,0.193,100.036,168947,happy
spotify:track:0yeOBIkI3whpk4n223Lpuo,0.149,0.754,0.781,0.668,8,4.67E-06,0.152,-8.36,0.0645,103.024,184067,happy
spotify:track:4bsqIuMHtvLCzpYAyV3044,0.0515,0.48,0.653,0.623,9,0,0.0869,-5.989,0.0938,175.884,185393,happy
spotify:track:2aQJrZRH3lbllvKNdItNfa,0.0718,0.652,0.786,0.62,5,0,0.0625,-7.709,0.163,92.09,161680,happy
spotify:track:2uYEwJC8CQ1tTCfzU6JZJ2,0.0175,0.52,0.637,0.758,5,9.68E-05,0.0753,-5.739,0.0415,108.013,213333,happy
spotify:track:4C6EPWGYM3K3IIv4xzPL2X,0.00536,0.296,0.65,0.625,0,0.000492,0.119,-10.122,0.0359,118.966,196558,happy
spotify:track:575NJxNUVDqwJGdzBrlLbv,0.0911,0.293,0.706,0.855,10,0,0.347,-5.377,0.215,107.184,201253,happy
spotify:track:0ySwEFQoOhVaGBky9iCdFJ,0.156,0.545,0.576,0.719,11,0,0.305,-5.163,0.0397,94.921,205409,happy
spotify:track:7Feaw9WAEREY0DUOSXJLOM,0.179,0.316,0.661,0.723,5,1.23E-05,0.14,-6.976,0.0566,113.778,163805,happy
spotify:track:6zTKuNMEU3svBn65L6u88M,0.00417,0.757,0.768,0.589,8,2.67E-05,0.136,-8.991,0.0403,97.979,199380,happy
spotify:track:6rC55vFj1dBuxN5zjuOIF1,0.0208,0.224,0.606,0.685,7,0.000928,0.107,-7.486,0.0343,116.994,193813,happy
spotify:track:3gFgp6Ofp808Kc2qLQiN5e,0.0901,0.928,0.707,0.674,1,0,0.115,-5.578,0.177,95.02,190280,happy
spotify:track:2xytFpmHqcz6UHp1sh0SoR,0.0264,0.368,0.722,0.59,2,0,0.0793,-7.512,0.0435,104.931,228120,happy
spotify:track:6LS5QB8GW8raREqEEQPEMs,0.000927,0.622,0.589,0.783,1,1.12E-06,0.187,-6.069,0.0318,127.92,216000,happy
spotify:track:3yPe9q1JY5Jlx7yrkGquWX,0.175,0.282,0.56,0.723,1,0.00315,0.149,-6.263,0.0459,159.915,258140,happy
spotify:track:5ow0sNF1zSqp71Ix5jEXWU,0.27,0.187,0.659,0.617,11,0,0.187,-5.862,0.0649,119.858,164010,happy
spotify:track:0sf12qNH5qcw8qpgymFOqD,0.00147,0.345,0.513,0.796,1,0.000209,0.0938,-4.075,0.0629,171.017,201573,happy
spotify:track:5Ef2noaxqTAfa5gLVw05OJ,0.0352,0.611,0.745,0.719,11,0,0.0639,-4.291,0.19,99.962,191255,happy
spotify:track:45ZGEdLxCZvdMX9jWlsAAx,0.0202,0.164,0.797,0.543,11,0,0.0726,-5.744,0.0439,115.036,222621,happy
spotify:track:74d9QhneUCIUvO00ev5kyX,0.0559,0.634,0.85,0.551,0,0,0.161,-7.197,0.0572,104.967,206204,happy
spotify:track:6pk6yfxGcMyeIVqW79iZo1,0.179,0.655,0.745,0.534,11,0.0399,0.202,-10.815,0.102,102.996,178835,happy
spotify:track:18RdChpgvaAO7GXDjLks2B,0.198,0.453,0.747,0.537,10,1.26E-05,0.18,-5.76,0.0413,97.056,178299,happy
spotify:track:1UNs8AlFM8c0uAkSyjIW3P,0.18,0.797,0.758,0.583,1,5.12E-05,0.107,-6.361,0.0421,97.537,177438,happy
spotify:track:77qZF7CW7zYbCUKiFQxNFo,0.323,0.735,0.891,0.484,0,0,0.109,-10.029,0.0822,130.079,157618,happy
spotify:track:3gicyfiEVMGONgzygpWjNT,0.331,0.503,0.598,0.904,4,0,0.264,-2.293,0.0507,138.091,198075,happy
spotify:track:0eL459KLWfWjAJswx9MysK,0.00259,0.501,0.572,0.775,0,1.01E-05,0.139,-4.828,0.0587,133.914,211653,happy
